"","game_id","home_team.x","away_team.x","score_differential.x","home_team.y","away_team.y","score_differential.y","home_team.x.x","away_team.x.x","score_differential.x.x","home_team.y.y","away_team.y.y","score_differential.y.y","home_team_win"
"17","2020_02_ATL_DAL","DAL","ATL",-20,"DAL","ATL",-19,"DAL","ATL",-5,"DAL","ATL",1,1
"18","2020_02_BAL_HOU","HOU","BAL",-3,"HOU","BAL",-10,"HOU","BAL",-13,"HOU","BAL",-17,0
"19","2020_02_BUF_MIA","MIA","BUF",0,"MIA","BUF",-7,"MIA","BUF",-4,"MIA","BUF",-3,0
"20","2020_02_CAR_TB","TB","CAR",14,"TB","CAR",21,"TB","CAR",14,"TB","CAR",14,1
"21","2020_02_CIN_CLE","CLE","CIN",4,"CLE","CIN",8,"CLE","CIN",12,"CLE","CIN",5,1
"22","2020_02_DEN_PIT","PIT","DEN",7,"PIT","DEN",14,"PIT","DEN",3,"PIT","DEN",5,1
"23","2020_02_DET_GB","GB","DET",-11,"GB","DET",3,"GB","DET",20,"GB","DET",21,1
"24","2020_02_JAX_TEN","TEN","JAX",7,"TEN","JAX",14,"TEN","JAX",13,"TEN","JAX",3,1
"25","2020_02_KC_LAC","LAC","KC",7,"LAC","KC",8,"LAC","KC",8,"LAC","KC",0,0
"26","2020_02_LA_PHI","PHI","LA",-11,"PHI","LA",-5,"PHI","LA",-8,"PHI","LA",-18,0
"27","2020_02_MIN_IND","IND","MIN",-3,"IND","MIN",12,"IND","MIN",15,"IND","MIN",17,1
"28","2020_02_NE_SEA","SEA","NE",0,"SEA","NE",0,"SEA","NE",11,"SEA","NE",5,1
"29","2020_02_NO_LV","LV","NO",-10,"LV","NO",0,"LV","NO",7,"LV","NO",10,1
"30","2020_02_NYG_CHI","CHI","NYG",10,"CHI","NYG",17,"CHI","NYG",14,"CHI","NYG",4,1
"31","2020_02_SF_NYJ","NYJ","SF",-4,"NYJ","SF",-18,"NYJ","SF",-18,"NYJ","SF",-18,0
"32","2020_02_WAS_ARI","ARI","WAS",14,"ARI","WAS",20,"ARI","WAS",17,"ARI","WAS",15,1
"33","2020_03_CAR_LAC","LAC","CAR",-6,"LAC","CAR",-11,"LAC","CAR",-8,"LAC","CAR",-5,0
"34","2020_03_CHI_ATL","ATL","CHI",3,"ATL","CHI",6,"ATL","CHI",16,"ATL","CHI",-4,0
